[0.0-2.0] SPEAKER_01:  Добрый день!
[2.0-3.0] SPEAKER_01:  Здравствуйте!
[3.0-4.0] SPEAKER_00:  Чем могу помочь?
[4.0-6.0] SPEAKER_01:  Дайте пожалуйста этот чай!
[6.0-8.0] SPEAKER_00:  Вот, держите!
[8.0-9.0] SPEAKER_01:  Спасибо!
[9.0-10.0] SPEAKER_00:  Что-нибудь еще?
[10.0-12.0] SPEAKER_01:  Да, еще пачку печенье! Вот это!
[12.0-14.0] SPEAKER_00:  Хорошо, с вас 350 рублей!
[14.0-16.0] SPEAKER_01:  Вот, держите!
[16.0-17.0] SPEAKER_00:  Паша, сдачи!
[17.0-18.0] SPEAKER_01:  Спасибо!
[18.0-19.0] SPEAKER_00:  Хорошего дня!
